,sens assoc,res assoc,total
3-Success,38.0,22.0,60.0
1-Number People Killed,10.0,29.0,39.0
5-Number Wounded,5.0,21.0,26.0
6-Number US Wounded,0.0,9.0,9.0
7-Number Kidnapped Hostage,4.0,5.0,9.0
8-Number Kidnapped US Hostage,6.0,0.0,6.0
10-Number Hostage Released,1.0,4.0,5.0
2-Number US People Killed,0.0,3.0,3.0
4-Damaged Property Value,0.0,3.0,3.0
9-Days Kidnapped Hostage,0.0,1.0,1.0
11-Ransom Amount,0.0,1.0,1.0
