,sens assoc,res assoc,total
1-nkill,28.0,34.0,62.0
3-success,33.0,12.0,45.0
5-nwound,9.0,11.0,20.0
10-nreleased,11.0,6.0,17.0
7-nhostkid,7.0,8.0,15.0
2-nkillus,1.0,8.0,9.0
6-nwoundus,1.0,5.0,6.0
8-nhostkidus,6.0,0.0,6.0
9-ndays,2.0,3.0,5.0
11-ransomamt,1.0,4.0,5.0
4-propvalue,0.0,3.0,3.0
13-ransompaid,0.0,2.0,2.0
12-ransomamtus,0.0,1.0,1.0
