ASSOC_ID,FEATURE,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_FEATURE_neg,N_FEATURE_pos,FEATURE_pos_logIC50_MEAN,FEATURE_neg_logIC50_MEAN,FEATURE_delta_MEAN_IC50,FEATURE_IC50_effect_size,FEATURE_neg_Glass_delta,FEATURE_pos_Glass_delta,FEATURE_neg_IC50_sd,FEATURE_pos_IC50_sd,FEATURE_IC50_T_pval,ANOVA_FEATURE_pval,ANOVA_TISSUE_pval,ANOVA_MSI_pval,ANOVA_MEDIA_pval,ANOVA_FEATURE_FDR
337,Maritime,10,nreleased,Hijacking,850,5,26.4,-13.64,40.04,0.9092836507578634,0.9202388075016663,0.3704898937199951,43.51044497754187,108.07312339337658,0.04294570981726791,0.04294570981726211,,,,29.106231816803163
338,Food or Water Supply,1,nkill,Hijacking,17244,62,0.27419354838709675,1.6720018557179308,-1.397808307330834,0.25624110894458957,0.2558174636788606,1.0209768416234852,5.464084770559554,1.3690891412464734,0.044022136098022094,0.044022136098241516,,,,29.747502617864978
339,Incendiary,9,ndays,Hijacking,777,18,-46.611111111111114,2.483912483912484,-49.0950235950236,0.4799993273803422,0.47813973630565554,0.5980184446731608,102.67923761023518,82.09616949499919,0.044422796322381754,0.04442279632239,,,,29.929695221338864
340,Cusco,1,nkill,Hijacking,17180,126,2.634920634920635,1.659895227008149,0.9750254079124858,0.1787377822071793,0.17877091893687064,0.17435188286261438,5.454049314680742,5.592284934948396,0.04562293324365998,0.04562293324390927,,,,30.647876332084934
341,Police,3,success,Hijacking,16685,2293,93.8508504143044,92.70602337428828,1.144827040016125,0.04441811337766588,0.04402412205547177,0.04764513071670228,26.00453993321223,24.02820650914489,0.04612878196420372,0.046128781963793365,,,,30.89681466431204
342,Peru,10,nreleased,Hijacking,813,42,-0.21428571428571427,-14.087330873308733,13.87304515902302,0.31502134775025464,0.31191527774320865,0.40547623678335604,44.47696585880067,34.21420024285004,0.04682194659565683,0.04682194659565388,,,,31.269393574407445
343,Cauca,9,ndays,Hijacking,757,38,-30.789473684210527,2.9867899603698813,-33.77626364458041,0.33020629369867677,0.3245642412162262,0.6202191845052306,104.06649703002405,54.458592201601846,0.047345557855346394,0.04734555785535654,,,,31.52689625120535
344,Left-wing extremists,10,nreleased,Hijacking,852,3,-63.666666666666664,-13.22887323943662,-50.43779342723005,1.145285098598018,1.146540248107708,0.8241586871474152,43.99129774159645,61.19912853410033,0.04800103456270972,0.04800103456270809,,,,31.870454343379446
345,Putumayo,9,ndays,Hijacking,789,6,-80.5,1.9949302915082383,-82.49493029150824,0.8064570340757258,0.8044084186858281,1.8204548250510155,102.55353919129938,45.3155602414888,0.04942302756918719,0.04942302756919999,,,,32.66600023095732
346,Gunmen,9,ndays,Hijacking,791,4,-99.0,1.8798988621997472,-100.87989886219975,0.9861841855756611,0.9843170002107783,0.0,102.48720568739306,0.0,0.04948527180345481,0.049485271803464244,,,,32.66600023095732
347,Colombia,8,nhostkidus,Hijacking,749,1123,-0.591273374888691,0.00801068090787717,-0.5992840557965682,0.09259225101451936,0.16375480429965375,0.07680040396345957,3.65964258795084,7.8031367658130835,0.04982984402470994,0.049829844024720536,,,,32.798663905608564
348,Federal District,3,success,Hijacking,18970,8,75.0,92.85187137585662,-17.851871375856618,0.6926317000636903,0.6929163228165749,0.3856444978941877,25.76338698919966,46.29100498862757,0.05016896223032542,0.05016896222996129,,,,32.832638892043434
349,Extremists,3,success,Hijacking,18970,8,75.0,92.85187137585662,-17.851871375856618,0.6926317000636903,0.6929163228165749,0.3856444978941877,25.76338698919966,46.29100498862757,0.05016896223032542,0.05016896222996129,,,,32.832638892043434
350,BombingExplosion,7,nhostkid,Hijacking,1841,37,-27.243243243243242,-7.481260184682238,-19.761983058561004,0.3245305531382245,0.32405546505376165,0.35199759318467866,60.98333523022807,56.14238120143255,0.05079053578020227,0.050790535780147215,,,,33.14445249195892
351,Atlantico,7,nhostkid,Hijacking,1867,11,-43.54545454545455,-7.660417782538833,-35.88503676291572,0.5892992269695174,0.5889231263230286,0.6752668921795884,60.93331227619768,53.142005299694205,0.05147393669905734,0.0514739366989976,,,,33.49472120242465
352,Colombian Guerrillas,3,success,Hijacking,18963,15,80.0,92.8545061435427,-12.854506143542693,0.49873836146731165,0.4990296239198981,0.3104658190204731,25.759004129995375,41.403933560541255,0.05351749087486942,0.053517490874417435,,,,34.72555373783222
353,Ejercito Revolucionaria del Pueblo (ERP) (Argentina),9,ndays,Hijacking,783,12,58.0,0.5044699872286079,57.49553001277139,0.5620177124648779,0.5595957431043244,0.9077852962990626,102.74475944691488,63.33604459906338,0.05369848472102257,0.05369848472103443,,,,34.744288697689136
354,Guayas,1,nkill,Hijacking,17251,55,0.2545454545454545,1.6714973045040866,-1.416951849958632,0.25974775202638817,0.2593452741606853,2.9526044254526433,5.463573047722921,0.47989897926858555,0.054461609535420556,0.05446160953564516,,,,35.13850739531456
355,Sucre,1,nkill,Hijacking,17233,73,2.8904109589041096,1.6618116404572623,1.2285993184468473,0.2252199343833215,0.22515595494895838,0.24230303058795635,5.456659224160267,5.070507436351953,0.054846890445848125,0.05484689044610364,,,,35.163033572238454
356,Cauca,10,nreleased,Hijacking,816,39,-26.641025641025642,-12.77328431372549,-13.867741327300152,0.31485065464596074,0.3155063419628522,0.3017035317320515,43.953922577356444,45.96479612846014,0.05508061986262491,0.05508061986261954,,,,35.163033572238454
357,Revolutionary Armed Forces of Colombia (FARC),6,nwoundus,Hijacking,1871,1331,0.0007513148009015778,0.021913415285943347,-0.02116210048504177,0.06876068919923907,0.052650572606903125,0.7720542179314973,0.4019348591522662,0.027410122234342145,0.05525209969331981,0.05525209969327879,,,,35.163033572238454
358,Narino,10,nreleased,Hijacking,836,19,-32.578947368421055,-12.970095693779903,-19.60885167464115,0.4451937727940061,0.4474850064235775,0.36671235437531857,43.820131162294025,53.47202361928638,0.05533399647556963,0.055333996475568754,,,,35.163033572238454
359,Armed Assault,5,nwound,Hijacking,13511,3592,1.140033407572383,0.9332395825623566,0.2067938250100264,0.035954843358719075,0.03324712049870229,0.059738835660572684,6.219901811289131,3.461631327818283,0.05547296497998496,0.05547296498020865,,,,35.163033572238454
360,Incendiary,8,nhostkidus,Hijacking,1827,45,-2.1777777777777776,-0.3065134099616858,-1.8712643678160918,0.2891052947097158,0.3049547738749294,0.1267606298602986,6.136202899986574,14.762188937356893,0.055526885386364355,0.055526885386381744,,,,35.163033572238454
361,Guarico,5,nwound,Hijacking,17100,3,7.333333333333333,0.9755555555555555,6.357777777777778,1.105414454075714,1.105665187212102,0.5005451879247029,5.750183555845421,12.701705922171765,0.05557729912228685,0.05557729912249598,,,,35.163033572238454
362,Maoists,1,nkill,Hijacking,17303,3,7.666666666666667,1.665953880829914,6.000712785836753,1.100015167149948,1.1002814128748923,0.4830287405297786,5.453798197097296,12.423096769056148,0.05678142278395336,0.056781422784241684,,,,35.825626972156904
363,Revolutionary Armed Forces of Colombia (FARC),8,nhostkidus,Hijacking,1483,389,-0.9048843187660668,-0.20633850303438975,-0.6985458157316771,0.10792109402229093,0.13559768458580007,0.06966141265477035,5.151605780478271,10.02772968721646,0.058310405706664854,0.05831040570669226,,,,36.68897152454136
364,Hostage Taking (Barricade Incident),5,nwound,Hijacking,16892,211,0.23696682464454977,0.9859104901728629,-0.7489436655283132,0.13021687756309316,0.12946937625618724,0.49737751533927593,5.784716719777367,1.5057851278569288,0.06015159024924139,0.06015159024947887,,,,37.721291410700246
365,Cajamarca,7,nhostkid,Hijacking,1873,5,-59.0,-7.7341163908168715,-51.26588360918313,0.84182235459611,0.8416505526170925,0.9359826961061319,60.91112689200176,54.772255750516614,0.06028139827024432,0.06028139827016458,,,,37.721291410700246
366,Asuncion,3,success,Hijacking,18946,32,84.375,92.85865090256519,-8.483650902565188,0.32915246482127386,0.32943520713372476,0.2299702943385295,25.752107603731297,36.89020326284736,0.06284482768415799,0.06284482768385424,,,,39.21791978959647
367,Junin,1,nkill,Hijacking,16829,477,2.1236897274633124,1.6540495573117833,0.46964017015152915,0.08609118118224121,0.08659013465327349,0.07259844042881047,5.423714514731669,6.469011832451897,0.06373238833333837,0.06373238833364711,,,,39.66342641799727
368,Brazil,9,ndays,Hijacking,777,18,45.44444444444444,0.35135135135135137,45.09309309309309,0.4406965790077564,0.4392155343829891,0.5299088203202748,102.66734567218793,85.09594738551247,0.06491235477613432,0.06491235477615058,,,,40.287994105632585
369,Manuel Rodriguez Patriotic Front (FPMR),3,success,Hijacking,18148,830,94.4578313253012,92.77055322900596,1.6872780962952447,0.06546366386428817,0.06515040165955793,0.07369975310306466,25.898199447980097,22.89394503039499,0.06515689406270571,0.06515689406206368,,,,40.33017507798197
370,Meta,10,nreleased,Hijacking,842,13,-35.69230769230769,-13.061757719714965,-22.63054997259273,0.5137064969589259,0.5151789299205799,0.43415535895978274,43.927553434845365,52.12546501053111,0.0664011281956088,0.0664011281956029,,,,40.98923697263703
371,Religious FiguresInstitutions,9,ndays,Hijacking,775,20,42.75,0.30451612903225805,42.44548387096774,0.4148052435362136,0.42002654833184877,0.292836445285838,101.05428820997524,144.94604259226222,0.06738859989193677,0.0673885998919512,,,,41.486674434829254
372,Business,6,nwoundus,Hijacking,2661,541,0.03512014787430684,0.00864336715520481,0.02647678071910203,0.0860246471884737,0.10573199049570134,0.05269410266606718,0.2504140950621607,0.5024619336795725,0.06823991242607332,0.06823991242603003,,,,41.897838704584025
373,The Extraditables,6,nwoundus,Hijacking,3191,11,0.18181818181818182,0.012535255405828893,0.16928292641235293,0.5500094345095217,0.5524730640371479,0.2807239751615593,0.30640937528308254,0.6030226891555273,0.06869428542758439,0.06869428542753543,,,,41.960726649211956
374,Popular Liberation Army (EPL),7,nhostkid,Hijacking,1795,83,-19.771084337349397,-7.32033426183844,-12.450750075510957,0.2044383230341382,0.20249762784169847,0.2687556749261356,61.48590582623649,46.32739412454417,0.06878148369216724,0.06878148369210038,,,,41.960726649211956
375,Boyaca,2,nkillus,Hijacking,3186,32,0.09375,0.014124293785310734,0.07962570621468927,0.32329681783402214,0.3291747617561883,0.1501436715231323,0.24189493079565463,0.5303300858899106,0.06889348727453691,0.0688934872743191,,,,41.960726649211956
