,sens assoc,res assoc,total
1-Number People Killed,16.0,36.0,52.0
5-Number Wounded,12.0,31.0,43.0
3-Success,22.0,18.0,40.0
2-Number US People Killed,1.0,20.0,21.0
6-Number US Wounded,0.0,16.0,16.0
7-Number Kidnapped Hostage,4.0,4.0,8.0
8-Number Kidnapped US Hostage,8.0,0.0,8.0
9-Days Kidnapped Hostage,5.0,3.0,8.0
10-Number Hostage Released,2.0,5.0,7.0
4-Damaged Property Value,0.0,2.0,2.0
11-Ransom Amount,0.0,2.0,2.0
