,sens assoc,res assoc,total
3-success,21.0,7,28.0
2-nkillus,0.0,8,8.0
1-nkill,0.0,7,7.0
5-nwound,0.0,7,7.0
6-nwoundus,0.0,6,6.0
8-nhostkidus,0.0,5,5.0
7-nhostkid,1.0,2,3.0
4-propvalue,0.0,2,2.0
