,sens assoc,res assoc,total
3-success,8.0,9.0,17.0
5-nwound,1.0,16.0,17.0
1-nkill,1.0,11.0,12.0
2-nkillus,0.0,10.0,10.0
4-propvalue,0.0,7.0,7.0
10-nreleased,1.0,3.0,4.0
7-nhostkid,1.0,2.0,3.0
8-nhostkidus,3.0,0.0,3.0
6-nwoundus,0.0,2.0,2.0
