,sens assoc,res assoc,total
3-success,34.0,10,44.0
1-nkill,17.0,18,35.0
5-nwound,10.0,13,23.0
4-propvalue,1.0,7,8.0
2-nkillus,0.0,4,4.0
6-nwoundus,0.0,4,4.0
8-nhostkidus,0.0,4,4.0
7-nhostkid,0.0,1,1.0
9-ndays,0.0,1,1.0
11-ransomamt,0.0,1,1.0
