ASSOC_ID,FEATURE,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_FEATURE_neg,N_FEATURE_pos,FEATURE_pos_logIC50_MEAN,FEATURE_neg_logIC50_MEAN,FEATURE_delta_MEAN_IC50,FEATURE_IC50_effect_size,FEATURE_neg_Glass_delta,FEATURE_pos_Glass_delta,FEATURE_neg_IC50_sd,FEATURE_pos_IC50_sd,FEATURE_IC50_T_pval,ANOVA_FEATURE_pval,ANOVA_TISSUE_pval,ANOVA_MSI_pval,ANOVA_MEDIA_pval,ANOVA_FEATURE_FDR
13,United States,8,nhostkidus,Hijacking,794,50,1.38,0.010075566750629723,1.36992443324937,1.8420432386215613,4.825217295194468,0.4784102703730492,0.28390937639507047,2.863492943370857,1.2542836923994702e-33,1.2542836923996653e-33,,,,1.3633098902774823e-29
14,Group name Unknown,3,success,Hijacking,6657,3687,93.59913208570654,98.06219017575485,-4.463058090048307,0.24351377819361927,0.3237379010443838,0.18231327501538241,13.786022815525794,24.480159712296008,3.0192644933284824e-32,3.0192644934361607e-32,,,,3.0473005208752106e-28
15,Government (General),3,success,Hijacking,9230,1114,90.48473967684022,97.19393282773565,-6.70919315089543,0.36593493662212867,0.40623576690976937,0.22854792036702573,16.51551561284764,29.35573922580927,1.317230497196235e-30,1.3172304971989801e-30,,,,1.2408311283614394e-26
16,Lorenzo Zelaya Revolutionary Front (LZRF),4,propvalue,Hijacking,2491,8,2648750.0,102918.22205539943,2545831.7779446007,3.9214671735379802,4.2169980375374765,0.5595790016554032,603707.1289298593,4549548.446981148,7.398254666249412e-28,7.398254666234639e-28,,,,6.533583652118465e-24
17,El Salvador,3,success,Hijacking,5135,5209,98.3490113265502,94.56669912366115,3.7823122028890452,0.2060664689998457,0.166845343101663,0.2967964054562811,22.669570109513867,12.743793837645347,1.4519294324501684e-25,1.451929432433751e-25,,,,1.2068095811934647e-21
18,Armed Assault,5,nwound,Hijacking,4777,3097,1.7626735550532773,0.7393761775172702,1.023297377536007,0.23246147195063094,0.2572922937897558,0.20519761190088034,3.9771784940134496,4.986887362170207,9.790531204492152e-24,9.790531204554131e-24,,,,7.685566995574993e-20
19,Guatemala.1,3,success,Hijacking,9447,897,90.74693422519509,97.01492537313433,-6.267991147939242,0.3412548903300901,0.3683057625700189,0.21618589354785717,17.018444414775153,28.993525179068605,1.9430418753682057e-22,1.9430418753884675e-22,,,,1.4450095631178444e-18
20,Farabundo Marti National Liberation Front (FMLN),3,success,Hijacking,6993,3351,98.98537749925396,95.26669526669527,3.7186822325586917,0.2024352877761382,0.17510769513553315,0.3710107487126027,21.236543771993777,10.023111851779008,7.015543429806006e-22,7.015543429984282e-22,,,,4.956481433283895e-18
21,Military,3,success,Hijacking,7279,3065,99.11908646003262,95.35650501442505,3.762581445607566,0.20480176363033128,0.17879625686159756,0.40259628455763974,21.04396093996588,9.345792770397207,2.301861186882777e-21,2.301861186911146e-21,,,,1.5488237414787852e-17
22,San Salvador,1,nkill,Hijacking,6492,1530,1.1209150326797386,4.15788662969809,-3.036971597018351,0.26250320959468754,0.23839433276847882,0.8388167817302892,12.739277657106738,3.620542248515541,3.19419778952711e-20,3.1941977895474964e-20,,,,2.0515461257411876e-16
23,Cuba,3,success,Hijacking,10304,40,70.0,96.57414596273291,-26.574145962732914,1.445966072492198,1.460909708544833,0.5726008344585084,18.19013578135681,46.40954808922571,8.324306697876346e-20,8.324306697946403e-20,,,,5.114019723564465e-16
24,Utilities,1,nkill,Hijacking,7073,949,0.4383561643835616,4.0,-3.5616438356164384,0.3077382107231527,0.29240403857709224,0.6932332445682894,12.180556236323707,5.13772797759353,6.71044469992214e-19,6.710444699965964e-19,,,,3.950774317104961e-15
25,Quiche,8,nhostkidus,Hijacking,837,7,2.7142857142857144,0.06929510155316607,2.644990612732548,3.4139605586003894,5.462864361730761,0.36831512533635125,0.48417651209896684,7.1813249871753175,1.5381286421095481e-18,1.538128642109797e-18,,,,8.693503085204572e-15
26,Francisco Morazan,3,success,Hijacking,10171,173,84.39306358381504,96.67682627076984,-12.283762686954802,0.668154150431722,0.6852867763204208,0.3374895909851653,17.924995945363552,36.3974564403521,3.3703575138881213e-18,3.370357513834426e-18,,,,1.831659679633863e-14
27,United States,2,nkillus,Hijacking,158,39,1.1538461538461537,0.06962025316455696,1.0842259006815969,1.6790443377021822,1.997965741861906,1.128498096594712,0.5426649105961175,0.9607689228305228,1.610426773683555e-17,1.6104267736835757e-17,,,,8.427900115610713e-14
28,Ouest,3,success,Hijacking,10183,161,84.472049689441,96.661101836394,-12.189052146953003,0.6628016126241112,0.6784551636766143,0.33550840614224625,17.965891925561223,36.33009463788273,8.076788854050967e-17,8.0767888540882e-17,,,,4.0758938038666525e-13
29,Assassination,5,nwound,Hijacking,6631,1243,0.19790828640386163,1.3188056100135725,-1.1208973236097108,0.25409048650073046,0.23392886864046533,1.2674962419153986,4.791616058864727,0.8843397609730563,2.344433937842973e-16,2.3444339378584204e-16,,,,1.1423052255841198e-12
30,Military,6,nwoundus,Hijacking,188,14,3.642857142857143,0.19148936170212766,3.451367781155015,2.3751173388725375,5.761427859725731,0.6602641313275848,0.5990472961192844,5.227253181564465,2.7374427241275728e-15,2.73744272412756e-15,,,,1.2893355230640809e-11
31,Armed Forces of National Resistance (FARN),11,ransomamt,Hijacking,115,3,7333333.333333333,313708.6956521739,7019624.637681159,5.172659816897176,5.367749059124474,2.2977115180250633,1307740.8351921206,3055050.4633038924,1.1949895751208728e-14,1.1949895751208751e-14,,,,5.4468395795025696e-11
32,Panama.1,3,success,Hijacking,10248,96,82.29166666666667,96.60421545667447,-14.312548790007796,0.777818702713916,0.7901830096766645,0.37297214049189825,18.112954359603805,38.374310668704474,3.594423443676819e-14,3.594423443682279e-14,,,,1.5842837878302576e-10
33,United States,3,success,Hijacking,10089,255,87.84313725490196,96.68946377242541,-8.846326517523451,0.4807542926152383,0.49442758480083016,0.27017493618646476,17.892056975516464,32.74295773838193,3.700025831422991e-14,3.700025831450708e-14,,,,1.5842837878302576e-10
34,Government (General),1,nkill,Hijacking,7064,958,0.9832985386221295,3.930634201585504,-2.9473356629633742,0.25427128232385754,0.24097374044910355,0.6298156075392757,12.230941253061081,4.679680255112726,1.6746869368775397e-13,1.6746869368875756e-13,,,,6.959801887712189e-10
35,Assassination,1,nkill,Hijacking,6776,1246,1.3635634028892456,3.9859799291617475,-2.622416526272502,0.226230525814319,0.20821749185696076,1.6989413629756107,12.594602417332085,1.543559173625316,2.3569725622269565e-13,2.3569725622413114e-13,,,,9.515434944134208e-10
36,Utilities,5,nwound,Hijacking,6925,949,0.1791359325605901,1.2737906137184116,-1.0946546811578215,0.24788688629447972,0.23501224897476905,0.5878213140202417,4.65786224306693,1.8622235278799824,8.705335248451896e-13,8.705335248506201e-13,,,,3.4168440850386838e-09
37,Government (Diplomatic),3,success,Hijacking,10124,220,87.72727272727273,96.66139865665745,-8.93412592938472,0.4853679726782941,0.4973038260374178,0.2716595212217096,17.965126069053216,32.88721812217768,1.132844985790131e-12,1.1328449857743567e-12,,,,4.3262431483761244e-09
38,Firearms,5,nwound,Hijacking,3439,4435,1.4514092446448703,0.74265774934574,0.7087514952991303,0.16048412677113386,0.20283361060426694,0.14129959928976765,3.494250746647314,5.015948373962977,1.7667475202127846e-12,1.7667475202239065e-12,,,,6.56951117388521e-09
39,South Caribbean Coast Autonomous Region,1,nkill,Hijacking,7939,83,12.36144578313253,3.486837133140194,8.874608649992336,0.7653215317337505,0.7809100559918576,0.34836816792871755,11.364444063561745,25.47479783459504,4.339403465488621e-12,4.339403465514272e-12,,,,1.5721992555824784e-08
40,Haiti,3,success,Hijacking,10153,191,87.43455497382199,96.64138678223185,-9.20683180840986,0.5000909539997563,0.5110074689076394,0.27703831503808285,18.017020041000464,33.23306311310856,7.953576822346127e-12,7.953576822125163e-12,,,,2.809601012415714e-08
41,Business,1,nkill,Hijacking,7150,872,1.0538990825688073,3.8865734265734266,-2.8326743440046194,0.24425556638338053,0.23164499816179393,0.8528618359705967,12.228515040182822,3.3213754262798068,1.0500952576458257e-11,1.050095257652182e-11,,,,3.6189868269817885e-08
42,Zelaya,1,nkill,Hijacking,7991,31,17.258064516129032,3.5255912902014765,13.732473225927556,1.183895744992113,1.2167228678463844,0.30388833629977546,11.286442943440536,45.18920796085092,5.036635541114742e-11,5.036635541145929e-11,,,,1.6944680999140947e-07
43,Religious FiguresInstitutions,8,nhostkidus,Hijacking,831,13,1.5384615384615385,0.06859205776173286,1.4698694806998056,1.8591287204438756,3.0317964016110293,0.2797718786096402,0.48481800424288046,5.253814243248813,5.222488181950452e-11,5.2224881819511215e-11,,,,1.7161339072318453e-07
44,Rio San Juan,1,nkill,Hijacking,7977,45,14.844444444444445,3.515105929547449,11.329338514896996,0.9766819827211782,0.9831271553353996,0.5321131014917148,11.523777421275609,21.29122264258588,6.822501542684775e-11,6.822501542725028e-11,,,,2.1909533363341966e-07
45,Guatemala.1,1,nkill,Hijacking,7256,766,0.9895561357702349,3.851984564498346,-2.862428428728111,0.24675721317307406,0.23513921828913018,1.238570161689946,12.173334799507723,2.3110749130453128,8.787316559828677e-11,8.787316559879142e-11,,,,2.7592173998020506e-07
46,Farabundo Marti National Liberation Front (FMLN),5,nwound,Hijacking,5327,2547,1.595995288574794,0.9247231086915713,0.6712721798832226,0.15190040132276048,0.17881747303766063,0.12075446053937328,3.753951828532139,5.55898454504169,3.0282808887089546e-10,3.028280888727618e-10,,,,9.302088903852444e-07
47,Nueva Segovia,1,nkill,Hijacking,7885,137,9.656934306569344,3.4730500951173116,6.183884211452032,0.5329549088231744,0.5397912664012064,0.3398635121066936,11.45606569865431,18.19519892888861,6.531723515116924e-10,6.531723515157328e-10,,,,1.9636862397696392e-06
48,Santiago,3,success,Hijacking,10341,3,33.333333333333336,96.4897011894401,-63.15636785610676,3.428567486494562,3.4314969858812225,1.0939003794828681,18.404902617126428,57.735026918962575,2.9854250193307144e-09,2.9854250193354644e-09,,,,8.788344900668773e-06
49,Panama,3,success,Hijacking,10236,108,86.11111111111111,96.58069558421258,-10.469584473101463,0.5683418607025239,0.5760951011430044,0.3013325925506394,18.173361398715645,34.74428167388509,4.346632558567382e-09,4.346632558558276e-09,,,,1.2534268990291518e-05
50,Francisco Morazan,4,propvalue,Hijacking,2473,26,869576.9615384615,103093.52613829357,766483.435400168,1.1606586049133356,1.2656730618079026,0.2837831796761264,605593.5442801586,2700947.3791749515,4.451220075393106e-09,4.4512200753846025e-09,,,,1.2579147933036885e-05
51,Havana,3,success,Hijacking,10320,24,75.0,96.52131782945736,-21.52131782945736,1.1681818011193579,1.174434557509899,0.48654893063699023,18.324833590632796,44.23258684646914,1.1191214169944326e-08,1.1191214169988883e-08,,,,3.100624631802802e-05
52,Firearms,3,success,Hijacking,4507,5837,97.36165838615727,95.31839360994009,2.0432647762171854,0.1109013939644698,0.09671429202553761,0.1274758592776094,21.126813146475364,16.028640934810127,2.2907921568836917e-08,2.2907921568665294e-08,,,,6.224787149331549e-05
53,United States,6,nwoundus,Hijacking,162,40,1.725,0.1111111111111111,1.613888888888889,1.0269188942545056,2.7866966128585036,0.4804983881559546,0.5791405068790082,3.3587810670554665,2.354225462719191e-08,2.3542254627191956e-08,,,,6.276453922306081e-05
54,San Salvador,2,nkillus,Hijacking,183,14,1.3571428571428572,0.20218579234972678,1.1549570647931304,1.6069278383312644,2.0544491468327113,0.6334667824669099,0.5621735960579489,1.8232322463624386,2.7079703404613543e-08,2.7079703404613818e-08,,,,6.999273709420887e-05
55,Lorenzo Zelaya Revolutionary Front (LZRF),8,nhostkidus,Hijacking,841,3,2.6666666666666665,0.08204518430439953,2.584621482362267,3.245488768262628,3.379450004978999,0.559586965723179,0.76480536139144,4.618802153517007,2.7244165181746647e-08,2.724416518175151e-08,,,,6.999273709420887e-05
56,Honduras,3,success,Hijacking,10099,245,90.20408163265306,96.62342806218437,-6.419346429531316,0.34838231512171297,0.35537762984938076,0.21550979377139456,18.06345107386759,29.78679677240441,7.277774664302404e-08,7.277774664346655e-08,,,,0.00018363385001288971
57,Utilities,3,success,Hijacking,9117,1227,99.10350448247759,96.11714379730175,2.986360685175839,0.16206694047090692,0.15457610449494158,0.3166989663883168,19.31967877527646,9.429650873928484,1.0047427046592657e-07,1.0047427046682052e-07,,,,0.0002490704283677498
58,Group name Unknown,1,nkill,Hijacking,5130,2892,2.6614799446749653,4.095711500974659,-1.4342315562996935,0.12353158806589552,0.11126112683094201,0.16122091966216184,12.890679765260385,8.896063608278151,1.1106842142339128e-07,1.1106842142412454e-07,,,,0.00027058565426256546
59,Group name Unknown,5,nwound,Hijacking,5011,2863,0.7977645826056584,1.338455398124127,-0.5406908155184685,0.12225459188968747,0.10966619478379931,0.16121686207544672,4.930332602352164,3.3538105664495226,1.8504520821729144e-07,1.850452082184215e-07,,,,0.0004384405890005186
60,Armed People,3,success,Hijacking,10336,8,62.5,96.49767801857585,-33.997678018575854,1.8449150569263937,1.8492336181993023,0.6568975475504346,18.38473932335343,51.75491695067657,1.8617434777105462e-07,1.8617434777092084e-07,,,,0.0004384405890005186
61,Weapon type Unknown,1,nkill,Hijacking,7285,737,1.462686567164179,3.7927247769389156,-2.3300382097747363,0.20067234266545056,0.19316920616131983,0.43153416392214106,12.062161749678003,5.399429302647588,2.1370091309340398e-07,2.1370091309468554e-07,,,,0.0004950153937750666
62,Quiche,1,nkill,Hijacking,7826,196,7.790816326530612,3.473166368515206,4.317649958015406,0.3718416563856847,0.3718633414081613,0.3709745936603768,11.610851291943579,11.638667530877242,2.785598248350815e-07,2.7855982483685174e-07,,,,0.0006348468266039863
