ASSOC_ID,FEATURE,DRUG_ID,DRUG_NAME,DRUG_TARGET,N_FEATURE_neg,N_FEATURE_pos,FEATURE_pos_logIC50_MEAN,FEATURE_neg_logIC50_MEAN,FEATURE_delta_MEAN_IC50,FEATURE_IC50_effect_size,FEATURE_neg_Glass_delta,FEATURE_pos_Glass_delta,FEATURE_neg_IC50_sd,FEATURE_pos_IC50_sd,FEATURE_IC50_T_pval,ANOVA_FEATURE_pval,ANOVA_TISSUE_pval,ANOVA_MSI_pval,ANOVA_MEDIA_pval,ANOVA_FEATURE_FDR
2678,Benghazi,8,nhostkidus,Hijacking,2950,44,0.0,-0.291864406779661,0.291864406779661,0.04436333506995013,0.04404339405495479,0.0,6.62674648587458,0.0,0.77022832125009,0.7702283212500469,,,,98.99067117889786
2679,Boumerdès,6,nwoundus,Hijacking,41647,153,0.0,0.01944918001296612,-0.01944918001296612,0.023654937999600646,0.023611887789400925,0.0,0.823702881634759,0.0,0.7702426260203538,0.7702426260267693,,,,98.99067117889786
2680,Al-Qaida in Iraq,4,propvalue,Hijacking,10378,170,-99.0,28203.997045673543,-28302.997045673543,0.022532289126650045,0.022351019640798886,0.0,1266295.5650582532,0.0,0.770744987795168,0.7707449877967325,,,,98.99067117889786
2681,Al Bayda,6,nwoundus,Hijacking,41650,150,0.0,0.019447779111644657,-0.019447779111644657,0.02365323368758998,0.023611036952305604,0.0,0.8236732317572182,0.0,0.7724515611081667,0.7724515611087772,,,,98.99067117889786
2682,Igdir,1,nkill,Hijacking,48181,20,2.0,2.8559390631161663,-0.8559390631161663,0.06463864026083734,0.06462678578142436,0.2449489911325965,13.2443390579729,3.4943563521469123,0.7725728187479601,0.7725728187290765,,,,98.99067117889786
2683,Najaf,9,ndays,Hijacking,2104,3,-63.0,-39.8925855513308,-23.107414448669203,0.16682435631866066,0.1667611408548504,0.37058533200598365,138.56594126315073,62.353829072479584,0.7728068813150266,0.7728068813148078,,,,98.99067117889786
2684,Amman,8,nhostkidus,Hijacking,2987,7,0.42857142857142855,-0.28925343153665883,0.7178248601080874,0.10910920421454962,0.10900046982432778,1.342927345116698,6.585520789634948,0.5345224838248488,0.7731078725143753,0.773107872514045,,,,98.99067117889786
2685,Aleppo,2,nkillus,Hijacking,41286,616,0.00487012987012987,0.019764569103328005,-0.014894439233198135,0.011685244339320435,0.011599424809445435,0.21377711227695867,1.2840670531412526,0.06967274969034881,0.773439671617274,0.7734396716195259,,,,98.99067117889786
2686,Diyala,6,nwoundus,Hijacking,38780,3020,0.015231788079470199,0.01970087674058793,-0.004469088661117731,0.005435499693862285,0.005264979696973024,0.01382894335907895,0.848833028489574,0.323169207153032,0.773568258464876,0.773568258472218,,,,98.99067117889786
2687,Gaza Strip,9,ndays,Hijacking,2084,23,-31.695652173913043,-40.01631477927064,8.320662605357594,0.06007114139823406,0.05981453950247353,0.1393258252055244,139.10769312223005,59.720892326196484,0.7745123934465067,0.7745123934463667,,,,98.99067117889786
