,sens assoc,res assoc,total
5-nwound,32.0,48,80.0
1-nkill,20.0,43,63.0
3-success,32.0,30,62.0
9-ndays,5.0,20,25.0
10-nreleased,7.0,10,17.0
6-nwoundus,1.0,14,15.0
8-nhostkidus,11.0,4,15.0
2-nkillus,0.0,9,9.0
4-propvalue,0.0,9,9.0
11-ransomamt,0.0,4,4.0
7-nhostkid,0.0,3,3.0
12-ransomamtus,0.0,3,3.0
13-ransompaid,0.0,2,2.0
